Source,Target
152181438,@williamsruto
1314383330,@williamsruto
243641368,@williamsruto
1336002016796172288,@williamsruto
1213110193036218368,@williamsruto
1109672282,@williamsruto
1270411683169742848,@williamsruto
1010841207235383296,@williamsruto
1087249648358752256,@williamsruto
2264467486,@williamsruto
1437995413,@williamsruto
734825869022265344,@williamsruto
1351467913367089152,@williamsruto
1020701191452471296,@williamsruto
1162352059556999168,@williamsruto
773949072,@williamsruto
914628382222057472,@williamsruto
940013503087284224,@williamsruto
835103019855405056,@williamsruto
1170402759000166400,@williamsruto
1183291227757862912,@williamsruto
2319017782,@williamsruto
1275355282051346432,@williamsruto
365592558,@williamsruto
918559775306276864,@williamsruto
1438836134516232192,@williamsruto
1087620845453934592,@williamsruto
1477593005418856448,@williamsruto
933303535642476544,@williamsruto
399044866,@williamsruto
1259500757612670976,@williamsruto
1670683963,@williamsruto
913347002204901376,@williamsruto
1239163862601142272,@williamsruto
4510747396,@williamsruto
606524167,@williamsruto
1500044171733831680,@williamsruto
1429963792646119424,@williamsruto
743802291099144192,@williamsruto
216809777,@williamsruto
1378354093681479680,@williamsruto
1422162942305443840,@williamsruto
1529825510712176640,@williamsruto
1155540297444708352,@williamsruto
1530216656617844736,@williamsruto
1505738867441377280,@williamsruto
2537234963,@williamsruto
2610188270,@williamsruto
3490655134,@williamsruto
1490881328,@williamsruto
1237472273013055488,@williamsruto
1276996006987661312,@williamsruto
1397817737402068992,@williamsruto
924960490643689472,@williamsruto
1202358821227843584,@williamsruto
1479370249631932416,@williamsruto
2929252750,@williamsruto
2782477946,@williamsruto
218383839,@williamsruto
1510791482734743552,@williamsruto
1433377437295992832,@williamsruto
3255314446,@williamsruto
819177433127591936,@williamsruto
264764057,@williamsruto
1425118747992412160,@williamsruto
2267336859,@williamsruto
633145155,@williamsruto
3602768838,@williamsruto
469540013,@williamsruto
1101868129,@williamsruto
932627702837805056,@williamsruto
452242832,@williamsruto
1135863677738016768,@williamsruto
1413042578686156800,@williamsruto
1488152872634261504,@williamsruto
961644989771022336,@williamsruto
781751568349659136,@williamsruto
1372853560220786688,@williamsruto
83797492,@williamsruto
123837178,@williamsruto
1128952871209394176,@williamsruto
954251091771908096,@williamsruto
1056574623221989376,@williamsruto
1172439818703257600,@williamsruto
1445090591155658752,@nduyamuthama
1095591632152469504,@williamsruto
2405066607,@williamsruto
714157131042332672,@williamsruto
848802793104093184,@williamsruto
66973927,@williamsruto
842388135426326528,@williamsruto
953279038138781696,@williamsruto
1453232840456478720,@williamsruto
1270287150647517184,@williamsruto
390858566,@williamsruto
1506291998298361856,@williamsruto
1175382081758814208,@williamsruto
1499772780144902144,@williamsruto
3009715384,@williamsruto
3632986397,@williamsruto
1562780756,@williamsruto
978622852659281920,@williamsruto
826753940125519872,@williamsruto
609210938,@williamsruto
1537065858,@williamsruto
863834392220884992,@williamsruto
1154766015378669568,@williamsruto
3165816080,@williamsruto
1400404795031175168,@williamsruto
1122877167057158144,@williamsruto
801334893196275712,@williamsruto
1232719409560653824,@williamsruto
996072396292546560,@williamsruto
1404695980621058048,@williamsruto
1207502099417849856,@williamsruto
1320024669676883968,@williamsruto
3300351310,@williamsruto
904950292113969152,@williamsruto
476094022,@williamsruto
2474666621,@williamsruto
47953133,@williamsruto
1041277727523987456,@williamsruto
1523941196615323648,@williamsruto
973888984156987392,@williamsruto
1168381022804828160,@williamsruto
788665806443913216,@williamsruto
90391467,@williamsruto
1494374099438772224,@williamsruto
2533359417,@williamsruto
1118624451564851200,@williamsruto
1419991829462847488,@williamsruto
185195661,@williamsruto
1032962263819411456,@williamsruto
202149738,@williamsruto
3413089996,@williamsruto
1501498928306561024,@williamsruto
4104937337,@williamsruto
3162366058,@williamsruto
543181820,@williamsruto
1091292192,@williamsruto
1418593658111156224,@williamsruto
796213796243181568,@williamsruto
331027062,@williamsruto
1354870867122151424,@williamsruto
1110483536161792000,@williamsruto
133430476,@williamsruto
3301475844,@williamsruto
548237267,@williamsruto
68382599,@williamsruto
606111244,@williamsruto
606111244,@railaodinga
1128638465896325120,@evans_miloo
874237330739122176,@williamsruto
874237330739122176,@railaodinga
2392309662,@williamsruto
471835406,@williamsruto
2225542174,@williamsruto
1246104677898506240,@williamsruto
1445090591155658752,@nduyamuthama
452242832,@mwalimu_amunga
452242832,@sakajajohnson
34365725,@williamsruto
34365725,@railaodinga
902519384253575168,@williamsruto
1511750545173848064,@mwalimu_amunga
1511750545173848064,@sakajajohnson
1222275839494180864,@mwalimu_amunga
1222275839494180864,@sakajajohnson
1499772780144902144,@mwalimu_amunga
1499772780144902144,@sakajajohnson
2392309662,@mwalimu_amunga
2392309662,@sakajajohnson
910888591592697856,@mwalimu_amunga
910888591592697856,@sakajajohnson
1381203332174336000,@mwalimu_amunga
