Id,Label,Sentiment,Account Type,Gender,Impact,Impressions,Total Monthly Visitors,Twitter Followers,Twitter Following,Twitter Tweets,Reach (new)
1160054473475186688,HezronKipronoh,neutral,individual,unknown,0.0,124,1414667000,124,519,615,0
1324395618,bkipsongol,neutral,individual,male,0.0,193,1414667000,193,979,4678,0
1262257822886252544,David___Mbugua,neutral,individual,male,0.0,934,1414667000,934,257,78075,55
724705775495569408,martinwaithaka8,neutral,individual,unknown,0.0,652,1414667000,652,1319,28729,0
1441816369788452864,terry_treaza,neutral,individual,unknown,0.0,1147,1414667000,1147,678,14342,329
796229131662979072,dkoech79,neutral,individual,male,0.0,1653,1414667000,1653,1058,47284,871
1343862429374160896,BossAdiye,neutral,individual,unknown,0.0,39,1414667000,39,229,270,0
517331956,lord_ofmischief,neutral,individual,unknown,0.0,844,1414667000,844,939,12382,0
795598175499386880,SiunduHesborn,neutral,individual,unknown,0.0,144,1414667000,144,1396,1633,0
279613200,KinyuaWaIrungu,neutral,individual,unknown,0.0,1077,1414667000,1077,1910,10239,243
1301202966293155840,henriqueokinyi1,neutral,individual,male,0.0,307,1414667000,307,192,12085,0
140357253,anyanyakegode,neutral,individual,male,0.0,213,1414667000,213,1149,5014,0
977549394655539200,Sam54prync,neutral,individual,unknown,0.0,328,1414667000,328,288,2044,0
1463251553511370752,Martcharismatic,neutral,individual,male,0.0,205,1414667000,205,305,6873,0
785038700652748800,Its_Georgy,neutral,individual,male,4.2,2396,1414667000,2396,1811,21084,1503
1295032579,BillowIsmail,neutral,individual,male,6.0,2937,1414667000,2937,4430,39768,1888
954251091771908096,kelvin_mwebia,neutral,individual,unknown,2.0,1967,1414667000,1967,1461,24178,1156
124429124,samgtheuri,neutral,individual,unknown,0.0,924,1414667000,924,1903,51059,41
2246570950,MWALIMU_AMUNGA,neutral,individual,unknown,49.9,44749,1414667000,38782,5798,13950,14669
951672404396429312,Araap_Ruto,neutral,individual,unknown,3.5,2245,1414667000,2245,2360,10412,1386
1044883577798893568,MakokhaDr,neutral,individual,unknown,0.0,1319,1414667000,1319,4998,72872,528
1240919230612213760,KenyaKwanza2022,neutral,individual,female,0.0,40,1414667000,40,179,163,0
1526888906683211776,joe_odundo2,neutral,individual,male,0.0,6,1414667000,6,143,32,0
1138861973326782464,Upendo_Andrew,neutral,individual,male,8.3,3645,1414667000,3645,279,22210,2330
1278092077004468224,TheHamara,neutral,individual,male,0.0,86,1414667000,86,1027,648,0
325399052,gcmm86,neutral,individual,male,0.0,622,1414667000,622,3055,6899,0
895651580099297280,Vaite254,neutral,individual,male,31.9,10289,1414667000,10289,6524,7985,5024
39303612,mosebu,neutral,individual,unknown,0.0,712,1414667000,712,3277,8878,0
914416013164384256,jkenyakwanza,neutral,individual,unknown,0.0,728,1414667000,728,975,2981,0
1563813548,Hon_ChaguaRuto,neutral,individual,unknown,25.9,6021,1414667000,6021,3678,7174,3504
879256330246250496,el_chaplinn,neutral,individual,unknown,4.1,2387,1414667000,2387,2600,13821,1496
1041464369404506112,fessy_jay,neutral,individual,male,0.0,211,1414667000,211,1317,12987,0
1260622183879127040,langatvic8,neutral,individual,unknown,0.0,106,1414667000,106,85,347,0
736096856606834688,futurelegacy2,positive,individual,unknown,0.0,332,1414667000,332,409,13064,0
1709442834,Chiskop_peetz,neutral,individual,unknown,0.0,225,1414667000,225,322,6631,0
499832520,thuoevans,neutral,individual,male,0.0,915,1414667000,915,1809,5944,29
904780092001230848,Kelvinmwendwa_,neutral,individual,unknown,15.2,3934,1414667000,3934,4969,113601,2494
256145719,JKNjenga,neutral,individual,male,54.2,136313,1414667000,136313,23325,46714,18594
819537404474388480,Mp_Kibra,neutral,individual,unknown,0.0,772,1414667000,772,410,2073,0
385374019,Collins_Oxlade,neutral,individual,unknown,0.0,279,1414667000,279,1972,3061,0
468246932,Patopatoh,neutral,individual,unknown,0.0,644,1414667000,644,253,130983,0
1385644512400363520,Edwardkertz,neutral,individual,male,0.0,204,1414667000,204,455,8873,0
267404703,MweleWycliffe,neutral,individual,unknown,0.0,373,1414667000,373,530,3573,0
994277262789959680,MurerwaEdwin,neutral,individual,unknown,32.1,10466,1414667000,10466,2171,42966,5078
342084869,DongThuthi,neutral,individual,unknown,0.0,1130,1414667000,1130,2386,2960,309
2745170855,Kastone_Paul,neutral,individual,unknown,30.4,8708,1414667000,8708,1681,283534,4518
1318635810837663744,JUNGLELAW12,neutral,individual,unknown,0.0,480,1414667000,480,727,7413,0
1182780427255341056,IKenmax,neutral,individual,unknown,0.0,353,1414667000,353,186,9769,0
1448748455766249472,ratemo_perminus,neutral,individual,unknown,0.0,350,1414667000,350,1027,1845,0
1415271958548209664,Real_Cheruiyot,neutral,individual,unknown,0.0,38,1414667000,38,55,448,0
1267438054660345856,aj_njuguna,neutral,individual,unknown,0.0,455,1414667000,455,495,1354,0
202243410,muhyy,neutral,individual,unknown,1.2,1833,1414667000,1833,568,48566,1039
1186863933082263552,iamWekesa,neutral,individual,unknown,25.8,5984,1414667000,5984,5020,318723,3488
1477907867546144768,ErickMureka,neutral,individual,male,0.0,17,1414667000,17,82,344,0
1478359370949931008,john_andeka,neutral,individual,male,0.0,71,1414667000,71,273,354,0
1828892059,Theichief,neutral,individual,male,0.0,869,1414667000,869,1276,9649,0
243769015,TheBryo,neutral,individual,unknown,34.8,12180,1414667000,12180,8704,122513,5569
4145432705,Mwikiah,neutral,individual,unknown,0.0,1036,1414667000,1036,745,10812,191
1294977371989213184,HacceeWako,neutral,individual,unknown,0.0,88,1414667000,88,393,1889,0
1088458906177662976,Ondieki_001,neutral,individual,male,0.0,451,1414667000,451,114,169,0
817097345892487168,KiruiMartin,neutral,individual,male,0.0,325,1414667000,325,404,16358,0
270831181,HusseinMohamedg,neutral,individual,male,62.4,384774,1414667000,384774,3214,7142,28936
980517498272604160,tylerkym254,neutral,individual,unknown,3.5,2254,1414667000,2254,2934,11481,1393
1043941509169643520,hpashile,neutral,individual,male,0.0,1351,1414667000,1351,1953,3601,563
1003044760431546368,AlfredMwandagha,neutral,individual,unknown,4.2,2399,1414667000,2399,1912,17900,1505
3315158973,kimutaiken_,neutral,individual,unknown,5.2,2659,1414667000,2659,2569,5995,1696
